STDPL,SMSSL,LPFL,MedianSI,sacl,sacr,fixl,fixr,Class
1.281437354,2.029770761,3.38076,28.742014,38.8665998,26.83049147,38.61584754,32.09628887,1
1.182997426,1.875458902,3.191499,32.303478,34.84673222,21.54424523,34.77443609,27.47252747,1
1.170227533,1.832394358,3.295768,18.701019,27.89842967,20.88205814,27.7313732,21.88439693,1
1.399299095,2.308566297,3.691128,27.468209,29.66314731,24.63549522,29.1603821,24.13273002,1
1.236503006,1.962139058,3.366713,44.808642,29.01450725,12.50625313,28.51425713,17.50875438,1
1.571877179,2.426288163,4.217514,3.082006,2.006521194,0.752445448,1.755706045,0.501630298,0
1.311713626,2.043646151,3.544785,5.4656,7.34557596,4.780433574,7.234279354,6.677796327,0
1.210903115,1.891461254,3.258299,8.992879,9.291687513,5.646487027,9.220212994,9.934958187,0
1.519066948,2.402234529,4.102655,8.770355,13.2987013,13.8207311,13.19480519,20.25974026,1
1.456139253,2.296533601,3.939136,5.513307,7.684597394,8.018710324,7.517540929,11.69395256,1
1.072478831,1.702220994,2.848172,11.086087,18.0090045,7.753876938,17.75887944,14.0070035,1
1.444178799,2.245588714,3.951333,5.700727,11.00660396,7.604562738,10.80648389,10.20612367,1
1.321176783,2.057380006,3.575319,6.662565,7.889166827,5.693402577,7.850683086,6.503752165,1
1.45195993,2.249543999,3.92915,5.615978,4.024144869,3.018108652,3.521126761,2.515090543,1
1.542873145,2.409040728,4.147508,9.053255,12.67370762,10.22790439,12.56253474,12.56253474,1
0.990819051,1.542172899,2.676216,9.548194,11.30678407,3.802281369,11.20672403,10.90654393,0
0.957729616,1.508031916,2.564187,10.626477,9.01352028,3.00450676,8.913370055,7.911867802,0
1.026394938,1.609336707,2.750753,10.186016,16.51100734,14.50967312,16.34422949,19.84656438,0
0.905902455,1.444484536,2.415393,18.503333,22.76422764,3.001876173,22.63914947,15.13445904,0
0.881789014,1.371230637,2.399423,13.79939,15.34356237,3.557927507,15.23237714,14.4540805,0
0.985236351,1.543733415,2.658025,21.35,23.01150575,13.84025346,22.84475571,22.84475571,1
0.907665135,1.441840192,2.421073,18.3,25.57673019,26.57973922,25.32597793,37.61283852,1
0.903050439,1.416682984,2.4274,18.089415,16.64695715,11.27990539,16.55599018,19.10306559,1
1.067961411,1.64983413,2.892475,4.27,2.677376171,4.016064257,2.34270415,5.020080321,1
1.140315587,1.774939514,3.07502,6.616858,7.218768799,7.820332865,7.018247443,8.622418288,1
1.238378178,1.911906146,3.273683,16.368333,27.27272727,30.3030303,26.26262626,34.34343434,1
0.967788015,1.521610644,2.613858,8.112766,17.27948563,15.84118709,17.07856138,16.87763713,1
1.171052369,1.815405287,3.166366,13.675237,18.05416249,26.32898696,17.80341023,30.84252758,1
1.086683073,1.72136879,2.833278,7.389988,10.33850258,8.504252126,10.17175254,15.50775388,1
0.934533818,1.581116237,2.650845,22.277708,35.19356461,1.005530417,34.6907994,16.08848668,1
1.015383263,1.584855673,2.700311456,20.553898,13.28986961,5.516549649,13.03911735,13.03911735,0
0.965401739,1.546623175,2.585624372,12.322663,14.40864519,3.502101261,14.30858515,13.6081649,0
1.03393295,1.613302748,2.771565031,11.529,10.50630378,3.902341405,10.40624375,14.50870522,0
1.014288661,1.596218449,2.769120071,40.202453,33.17535545,8.425487098,32.64876251,21.06371775,1
0.933324427,1.456536035,2.550217925,15.696915,17.80341023,1.003009027,17.55265797,10.28084253,1
1.131248097,1.761152939,2.550217925,9.983947,10.80141209,9.74248249,10.74872227,13.80473155,1
1.22068511,1.884411653,2.550217925,8.124553,9.027081244,10.78234704,8.776328987,11.28385155,1
1.107544041,1.741681946,2.925980934,17.085083,20.12072435,15.59356137,19.61770624,22.63581489,1
1.08138187,1.681217539,2.931665973,18.274583,13.71696219,3.011040482,13.38240214,10.37136166,1
1.220832872,1.907506086,3.286000492,7.93,15.92548077,13.22115385,15.82532051,14.32291667,0
1.246911103,1.924480496,3.32757561,7.499872,12.38286479,11.71352075,12.04819277,12.71753681,0
1.110958676,1.723099387,3.00478533,7.426087,7.00525394,6.504878659,6.7550663,7.255441581,0
1.043522445,1.624180892,2.799658827,5.497349,10.02171371,8.01737097,9.854685151,9.019542342,0
1.472408773,2.301826613,3.968000019,2.846667,21.69334457,19.7978096,21.48272957,21.27211457,1
1.256183932,1.961111092,3.370201062,16.405789,24.16729276,22.03856749,24.04207363,22.41422489,1
1.194446517,1.865313575,3.210794162,5.87125,13.36912469,11.42165377,13.34280752,12.44802358,1
1.166284835,1.819697255,3.119960755,9.020375,12.31148046,10.82384323,12.28583154,12.38842721,1
